record_id,site_mut,water_type,datetime,src,qc,temp_field,do_percent_field,do_mg_l_field,spc_field,ec_field,ph_field,orp_field,turbidity_field,cl_field,no3_field,nh4_field,nh3_field,notes_field,field_data_complete,ec_lab,ph_lab,turbidity_lab,tn_mg_l,tp_mg_l,notes_lab,lab_data_complete,q_coolac_ml_day,q_berthong_ml_day,q_jindalee_ml_day,q_coolac_temp,q_coolac_spc,q_coolac_ec,flow_data_complete,cl_mg_l,no2_mg_l,no3_mg_l,br_mg_l,hco3_mg_l,so4_mg_l,po4_mg_l,na_mg_l,ca_mg_l,mg_mg_l,k_mg_l,s_mg_l,major_ions_complete,tds_mg_l,p_mg_l,al_mg_l,fe_mg_l,si_mg_l,ic_mg_l,other_ion_and_salt_data_complete,cl_meq_l,no3_meq_l,hco3_meq_l,so4_meq_l,na_meq_l,ca_meq_l,mg_meq_l,k_meq_l,anion_sum,cation_sum,ion_balance,ionic_balance_check,ion_balance_complete
201008170000_SW29_CullingaCreekMain,52,2,17/08/2010 0:00,2,3,8,,,725,,8.1,,,,,,,,0,,,,,,,0,,,,,,,0,149.85,,,,,42.54,,78.01,68.73,40.81,14.9,13.61,0,,0.13,,,,276.61,0,4.23,,,0.89,3.39,3.43,3.36,0.38,5.12,10.56,35,,0
201008170000_SW33_SECootaNorth,56,2,17/08/2010 0:00,2,3,9,,,1950,,8.3,,,,,,,,0,,,,,,,0,,,,,,,0,630.17,,,,,61.56,,264.79,160.66,121.94,20.01,27.36,0,,0.07,,,,336,0,17.78,,,1.28,11.52,8.02,10.03,0.51,19.06,30.08,22,,0
201008170448_SW35_BradmanOval,58,2,17/08/2010 4:48,2,3,8,,,370,,7.2,,,,,,,,0,,,,,,,0,,,,,,,0,71.06,,,,,9.77,,47.67,21.1,12.57,15.04,7.01,0,,0.59,,,,88.87,0,2,,,0.2,2.07,1.05,1.03,0.38,2.2,4.53,35,,0
201008170830_SW11_Glenarchy,34,2,17/08/2010 8:30,2,3,7,,,450,,7,,,,,,,,0,,,,,,,0,,,,,,,0,98.87,,,,,19.86,,60.49,31.41,18.61,11.51,10.55,0,,0.06,,,,117.12,0,2.79,,,0.41,2.63,1.57,1.53,0.29,3.2,6.02,31,,0
201008170850_SW04_Berthong,27,2,17/08/2010 8:50,2,3,7,,,465,,7,,,,,,,,0,,,,,,,0,,,,,,,0,112.07,,,,,18.81,,65.44,29.17,18.77,11.24,11.97,0,,0.06,,,,92.18,0,3.16,,,0.39,2.85,1.46,1.54,0.29,3.55,6.14,27,,0
201008170935_SW06_Jindalee,29,2,17/08/2010 9:35,2,3,7,,,1570,,8.1,,,,,,,,0,,,,,,,0,,,,,,,0,391.36,,,,,129.76,,138.23,188.75,125.45,13.21,50.08,0,,0.03,,,,462.75,0,11.04,,,2.7,6.01,9.42,10.32,0.34,13.74,26.09,31,,0
201008170950_SW36_NashsLane,59,2,17/08/2010 9:50,2,3,8.5,,,330,,7.5,,,,,,,,0,,,,,,,0,,,,,,,0,65.9,,,,,10.57,,44.27,20.08,11.63,11.43,8.65,0,,0.28,,,,71.08,0,1.86,,,0.22,1.93,1,0.96,0.29,2.08,4.18,34,,0
201008171000_SW03_Cootamundry,26,2,17/08/2010 10:00,2,3,8.5,,,480,,7.6,,,,,,,,0,,,,,,,0,,,,,,,0,133.77,,,,,12.48,,77.65,28.12,15.95,7.56,9.23,0,,0.03,,,,77.49,0,3.77,,,0.26,3.38,1.4,1.31,0.19,4.03,6.28,22,,0
201008171015_SW20_Cootamundry12A,43,2,17/08/2010 10:15,2,3,8,,,515,,7.6,,,,,,,,0,,,,,,,0,,,,,,,0,146.29,,,,,21.56,,82.34,29.54,17.12,7.49,9.51,0,,0.02,,,,91.7,0,4.13,,,0.45,3.58,1.47,1.41,0.19,4.58,6.65,18,,0
201008171110_SW32_WavehillNorth,55,2,17/08/2010 11:10,2,3,7,,,340,,8,,,,,,,,0,,,,,,,0,,,,,,,0,31.1,,,,,7.58,,11.08,31.13,12,23.32,6.09,0,,0.5,,,,184,0,0.88,,,0.16,0.48,1.55,0.99,0.6,1.04,3.62,55,,0
201008171122_SW16_BrawlinRoadCreek,39,2,17/08/2010 11:22,2,3,9.3,,,410,,7.8,,,,,,,,0,,,,,,,0,,,,,,,0,88.84,,,,,27.32,,59.63,26.44,14.81,9.5,15.08,0,,0.1,,,,94.87,0,2.51,,,0.57,2.59,1.32,1.22,0.24,3.08,5.37,27,,0
201008171138_SW34_BigDam,57,2,17/08/2010 11:38,2,3,12.5,,,83,,7.4,,,,,,,,0,,,,,,,0,,,,,,,0,14.34,,,,,2.53,,12.28,2.96,2.93,3.18,2.09,0,,0.02,,,,24,0,0.4,,,0.05,0.53,0.15,0.24,0.08,0.45,1,38,,0
201008171148_SW05_Cunjegong,28,2,17/08/2010 11:48,2,3,8.5,,,245,,7.5,,,,,,,,0,,,,,,,0,,,,,,,0,65.16,,,,,4.02,,39.07,11.22,8.31,3.96,2.79,0,,0.03,,,,46.28,0,1.84,,,0.08,1.7,0.56,0.68,0.1,1.92,3.04,23,,0
201008171159_SW07_RomaniEntry,30,2,17/08/2010 11:59,2,3,8.2,,,173,,7.4,,,,,,,,0,,,,,,,0,,,,,,,0,43.09,,,,,0,,28.16,7.53,6.54,2.68,1.92,0,,0.03,,,,46.28,0,1.22,,,0,1.22,0.38,0.54,0.07,1.22,2.21,29,,0
201008171211_SW30_AthloneNorth,53,2,17/08/2010 12:11,2,3,10,,,1380,,7.3,,,,,,,,0,,,,,,,0,,,,,,,0,478.24,,,,,0,,262.49,88.14,39.46,32.08,6.1,0,,0.06,,,,124.03,0,13.49,,,0,11.42,4.4,3.25,0.82,13.49,19.89,19,,0
201008171225_SW31_AthloneSouth,54,2,17/08/2010 12:25,2,3,10,,,480,,7.6,,,,,,,,0,,,,,,,0,,,,,,,0,122.23,,,,,10.88,,89.52,21.48,15.45,7.79,7.29,0,,0.05,,,,104.28,0,3.45,,,0.23,3.89,1.07,1.27,0.2,3.68,6.43,27,,0
201008171234_SW08_SheepStation,31,2,17/08/2010 12:34,2,3,8.5,,,395,,7.8,,,,,,,,0,,,,,,,0,,,,,,,0,106.36,,,,,8.8,,59.14,22.33,13.69,4.54,5.06,0,,0.05,,,,74.21,0,3,,,0.18,2.57,1.11,1.13,0.12,3.18,4.93,22,,0
201008171246_SW15_MuttamaCreek,38,2,17/08/2010 12:46,2,3,9.8,,,250,,7.8,,,,,,,,0,,,,,,,0,,,,,,,0,56.89,,,,,4.89,,36.85,11.11,8.14,4.07,3.99,0,,0.05,,,,44.95,0,1.6,,,0.1,1.6,0.55,0.67,0.1,1.7,2.92,26,,0
201008171254_SW26_ReefCreek,49,2,17/08/2010 12:54,2,3,12.5,,,675,,8.9,,,,,,,,0,,,,,,,0,,,,,,,0,167.91,,,,,9.18,,96.1,45.6,41.31,4.21,8.33,0,,0.02,,,,227.24,0,4.74,,,0.19,4.18,2.28,3.4,0.11,4.93,9.97,34,,0
201008171307_SW27_LongView,50,2,17/08/2010 13:07,2,3,11,,,940,,8.2,,,,,,,,0,,,,,,,0,,,,,,,0,219.51,,,,,25.19,,127.38,56.57,63.55,9.04,13.62,0,,0.11,,,,298.78,0,6.19,,,0.52,5.54,2.82,5.23,0.23,6.71,13.82,35,,0
201008171336_SW25_BurraCreekNorth,48,2,17/08/2010 13:36,2,3,9.4,,,135,,7.6,,,,,,,,0,,,,,,,0,,,,,,,0,28.61,,,,,2.42,,21.11,6.69,5.07,2.43,2.02,0,,0.04,,,,32.44,0,0.81,,,0.05,0.92,0.33,0.42,0.06,0.86,1.73,34,,0
201008171341_SW24_YammtreeMid,47,2,17/08/2010 13:41,2,3,13,,,112,,9.3,,,,,,,,0,,,,,,,0,,,,,,,0,13.9,,,,,2.51,,15.45,11.28,4.4,1.17,2.17,0,,0.03,,,,57.27,0,0.39,,,0.05,0.67,0.56,0.36,0.03,0.44,1.62,57,,0
201008171349_SW23_BongongolongHeadwater,46,2,17/08/2010 13:49,2,3,9.2,,,129,,7.8,,,,,,,,0,,,,,,,0,,,,,,,0,28.14,,,,,1.27,,19.57,6.23,4.88,3.99,1.1,0,,0.03,,,,57.27,0,0.79,,,0.03,0.85,0.31,0.4,0.1,0.82,1.66,34,,0
201008171455_SW21_CoolacMingay,44,2,17/08/2010 14:55,2,3,10.5,,,267,,7.5,,,,,,,,0,,,,,,,0,,,,,,,0,61.68,,,,,8.58,,38.76,13.78,11.61,4.59,4.94,0,,0.05,,,,70.05,0,1.74,,,0.18,1.69,0.69,0.96,0.12,1.92,3.46,29,,0
